amfi_code,var_95,cvar_95,fund_name,category,risk_grade,cvar_to_var_ratio
100016,-0.02397576641554051,-0.03095413080889255,Edelweiss Small Cap Fund - Direct Growth,Small Cap,High,1.2910590749177817
100020,-0.02390004124189956,-0.032427140287597724,SBI Small Cap Fund - Direct Growth,Small Cap,High,1.3567817711857821
100017,-0.02366449459763583,-0.03306806735915344,Invesco Small Cap Fund - Direct Growth,Small Cap,High,1.397370530045339
100019,-0.023602347333342443,-0.03220964063986982,Sundaram Small Cap Fund - Direct Growth,Small Cap,High,1.3646795458504277
100021,-0.02292513744962228,-0.02861872070936038,HDFC Small Cap Fund - Direct Growth,Small Cap,High,1.2483554688494096
100018,-0.02255153553261885,-0.03187952313523754,PGIM Small Cap Fund - Direct Growth,Small Cap,High,1.4136298208663691
100013,-0.022411057682826384,-0.029705430175117696,Canara Robeco Mid Cap Fund - Direct Growth,Mid Cap,High,1.325480956567302
100015,-0.021820400354592085,-0.028670909576798742,Quant Mid Cap Fund - Direct Growth,Mid Cap,High,1.3139497493575993
100012,-0.021712317389130042,-0.02935631658768592,Tata Mid Cap Fund - Direct Growth,Mid Cap,High,1.3520581917424777
100011,-0.02152167250240754,-0.028137962243417393,DSP Mid Cap Fund - Direct Growth,Mid Cap,High,1.3074245154631785
100023,-0.021509544198613263,-0.030146819760544702,Axis Flexi Cap Fund - Direct Growth,Flexi Cap,Moderate,1.4015554900734852
100009,-0.021471210947322728,-0.028652336839845277,Parag Parikh Mid Cap Fund - Direct Growth,Mid Cap,High,1.334453697564644
100010,-0.021395342208594337,-0.02980740429223474,Franklin Mid Cap Fund - Direct Growth,Mid Cap,High,1.3931725887637985
100030,-0.02077857101194085,-0.027021995301576222,Franklin ELSS Fund - Direct Growth,ELSS,High,1.3004741897817447
100022,-0.02077694790833089,-0.027558471283195562,ICICI Pru Flexi Cap Fund - Direct Growth,Flexi Cap,Moderate,1.3263965142900271
100032,-0.020491786837121106,-0.02731799138729091,Tata ELSS Fund - Direct Growth,ELSS,High,1.3331190493258527
100026,-0.01992234927582801,-0.02702256340228145,Aditya Birla SL Flexi Cap Fund - Direct Growth,Flexi Cap,Moderate,1.3563944205650589
100014,-0.019917822874939196,-0.028407092980658896,Motilal Oswal Mid Cap Fund - Direct Growth,Mid Cap,High,1.4262147604696789
100024,-0.019846538049194794,-0.0273742370889972,Kotak Flexi Cap Fund - Direct Growth,Flexi Cap,Moderate,1.3792953219923318
100031,-0.019812273549898073,-0.026529869999654943,DSP ELSS Fund - Direct Growth,ELSS,High,1.3390623712537741
100005,-0.01947120593486692,-0.02626369624318108,Nippon India Large Cap Fund - Direct Growth,Large Cap,Moderate,1.3488479517414433
100002,-0.019435505119464236,-0.02654016080020988,ICICI Pru Large Cap Fund - Direct Growth,Large Cap,Moderate,1.365550349068648
100028,-0.01932860879162147,-0.026545999456278092,Mirae Asset ELSS Fund - Direct Growth,ELSS,High,1.3734045601763745
100025,-0.01932751462631971,-0.025845809108403815,Nippon India Flexi Cap Fund - Direct Growth,Flexi Cap,Moderate,1.337254665595113
100029,-0.01923553785050438,-0.025891127070022422,Parag Parikh ELSS Fund - Direct Growth,ELSS,High,1.3460048412081975
100027,-0.019189705218367603,-0.02546403357228292,UTI Flexi Cap Fund - Direct Growth,Flexi Cap,Moderate,1.3269632483937162
100003,-0.018641188264257036,-0.024089673136561345,Axis Large Cap Fund - Direct Growth,Large Cap,Moderate,1.292282058153521
100004,-0.01861936934966337,-0.02344652351400206,Kotak Large Cap Fund - Direct Growth,Large Cap,Moderate,1.2592544394864782
100001,-0.018290813123981564,-0.025799848811255417,HDFC Large Cap Fund - Direct Growth,Large Cap,Moderate,1.4105359141977434
100008,-0.01819829585399225,-0.025724424970494906,Mirae Asset Large Cap Fund - Direct Growth,Large Cap,Moderate,1.4135623014861367
100006,-0.018123765752057076,-0.02564389465535014,Aditya Birla SL Large Cap Fund - Direct Growth,Large Cap,Moderate,1.4149319190157552
100007,-0.017971364967387903,-0.02447412402066564,UTI Large Cap Fund - Direct Growth,Large Cap,Moderate,1.3618400196689622
100035,-0.015319343062584746,-0.02098013432299304,Quant Hybrid Aggressive Fund - Direct Growth,Hybrid Aggressive,Moderate,1.3695191913440432
100034,-0.014135538030827843,-0.01873355724367448,Motilal Oswal Hybrid Aggressive Fund - Direct Growth,Hybrid Aggressive,Moderate,1.3252808066321162
100036,-0.01364722509406463,-0.01839316256782796,Edelweiss Hybrid Aggressive Fund - Direct Growth,Hybrid Aggressive,Moderate,1.3477584227600528
100033,-0.013520098840319883,-0.018458887554406587,Canara Robeco Hybrid Aggressive Fund - Direct Growth,Hybrid Aggressive,Moderate,1.3652923526977598
100037,-0.0027202739279923783,-0.003591589883295279,Invesco Debt - Short Duration Fund - Direct Growth,Debt - Short Duration,Low,1.3203044907855845
100040,-0.0026351284787561433,-0.003546297912945737,SBI Debt - Short Duration Fund - Direct Growth,Debt - Short Duration,Low,1.345777992054373
100039,-0.002541033376488799,-0.003562610123349929,Sundaram Debt - Short Duration Fund - Direct Growth,Debt - Short Duration,Low,1.4020320064716132
100038,-0.0020860393159187972,-0.003141052817950418,PGIM Debt - Short Duration Fund - Direct Growth,Debt - Short Duration,Low,1.5057495771919043
