fund_house,year,aum_cr
SBI,2022,787753.0
SBI,2023,904668.0
SBI,2024,1065808.0
SBI,2025,1250000.0
ICICI Pru,2022,558379.0
ICICI Pru,2023,645139.0
ICICI Pru,2024,743372.0
ICICI Pru,2025,890000.0
HDFC,2022,425097.0
HDFC,2023,533795.0
HDFC,2024,664478.0
HDFC,2025,840000.0
Nippon India,2022,336445.0
Nippon India,2023,419156.0
Nippon India,2024,503703.0
Nippon India,2025,610000.0
Kotak,2022,254460.0
Kotak,2023,313083.0
Kotak,2024,390918.0
Kotak,2025,480000.0
Axis,2022,219435.0
Axis,2023,275792.0
Axis,2024,348118.0
Axis,2025,430000.0
Aditya Birla SL,2022,232777.0
Aditya Birla SL,2023,282366.0
Aditya Birla SL,2024,333140.0
Aditya Birla SL,2025,400000.0
UTI,2022,187526.0
UTI,2023,230701.0
UTI,2024,287061.0
UTI,2025,350000.0
Mirae Asset,2022,163271.0
Mirae Asset,2023,187847.0
Mirae Asset,2024,218799.0
Mirae Asset,2025,260000.0
DSP,2022,103850.0
DSP,2023,125456.0
DSP,2024,157412.0
DSP,2025,190000.0
Tata,2022,110223.0
Tata,2023,128055.0
Tata,2024,148000.0
Tata,2025,170000.0
Franklin,2022,78816.0
Franklin,2023,95706.0
Franklin,2024,118535.0
Franklin,2025,150000.0
Canara Robeco,2022,65720.0
Canara Robeco,2023,77948.0
Canara Robeco,2024,91500.0
Canara Robeco,2025,110000.0
Invesco,2022,56947.0
Invesco,2023,66619.0
Invesco,2024,78786.0
Invesco,2025,90000.0
Edelweiss,2022,49531.0
Edelweiss,2023,58057.0
Edelweiss,2024,67773.0
Edelweiss,2025,80000.0
Sundaram,2022,47891.0
Sundaram,2023,54801.0
Sundaram,2024,63614.0
Sundaram,2025,75000.0
PGIM,2022,24858.0
PGIM,2023,30844.0
PGIM,2024,37111.0
PGIM,2025,45000.0
Motilal Oswal,2022,50141.0
Motilal Oswal,2023,61492.0
Motilal Oswal,2024,78244.0
Motilal Oswal,2025,95000.0
Quant,2022,54263.0
Quant,2023,64075.0
Quant,2024,74248.0
Quant,2025,85000.0
Parag Parikh,2022,125178.0
Parag Parikh,2023,149927.0
Parag Parikh,2024,178647.0
Parag Parikh,2025,220000.0
