month,folio_count_cr
2022-01,13.26
2022-02,13.5
2022-03,13.84
2022-04,14.05
2022-05,14.3
2022-06,14.65
2022-07,14.93
2022-08,15.15
2022-09,15.43
2022-10,15.81
2022-11,15.97
2022-12,16.25
2023-01,16.58
2023-02,16.84
2023-03,17.14
2023-04,17.39
2023-05,17.63
2023-06,17.92
2023-07,18.17
2023-08,18.48
2023-09,18.75
2023-10,18.97
2023-11,19.29
2023-12,19.53
2024-01,19.83
2024-02,20.09
2024-03,20.38
2024-04,20.57
2024-05,20.93
2024-06,21.15
2024-07,21.5
2024-08,21.71
2024-09,22.0
2024-10,22.27
2024-11,22.57
2024-12,22.87
2025-01,23.12
2025-02,23.38
2025-03,23.66
2025-04,23.93
2025-05,24.21
2025-06,24.46
2025-07,24.75
2025-08,25.07
2025-09,25.33
2025-10,25.52
2025-11,25.84
2025-12,26.12
