month,category,net_inflow_cr
2022-01,Large Cap,3266.0
2022-02,Large Cap,3518.0
2022-03,Large Cap,3265.0
2022-04,Large Cap,3796.0
2022-05,Large Cap,3712.0
2022-06,Large Cap,3843.0
2022-07,Large Cap,3690.0
2022-08,Large Cap,3887.0
2022-09,Large Cap,3366.0
2022-10,Large Cap,4097.0
2022-11,Large Cap,4060.0
2022-12,Large Cap,3765.0
2023-01,Large Cap,4264.0
2023-02,Large Cap,4395.0
2023-03,Large Cap,4008.0
2023-04,Large Cap,4709.0
2023-05,Large Cap,4478.0
2023-06,Large Cap,4581.0
2023-07,Large Cap,4488.0
2023-08,Large Cap,4528.0
2023-09,Large Cap,4679.0
2023-10,Large Cap,4759.0
2023-11,Large Cap,4474.0
2023-12,Large Cap,4975.0
2024-01,Large Cap,4913.0
2024-02,Large Cap,5141.0
2024-03,Large Cap,5557.0
2024-04,Large Cap,5998.0
2024-05,Large Cap,6032.0
2024-06,Large Cap,5769.0
2024-07,Large Cap,5763.0
2024-08,Large Cap,5758.0
2024-09,Large Cap,6054.0
2024-10,Large Cap,6354.0
2024-11,Large Cap,6283.0
2024-12,Large Cap,6659.0
2025-01,Large Cap,6802.0
2025-02,Large Cap,7340.0
2025-03,Large Cap,6678.0
2025-04,Large Cap,6820.0
2025-05,Large Cap,7425.0
2025-06,Large Cap,7713.0
2025-07,Large Cap,7507.0
2025-08,Large Cap,7774.0
2025-09,Large Cap,7463.0
2025-10,Large Cap,7580.0
2025-11,Large Cap,7911.0
2025-12,Large Cap,8546.0
2022-01,Mid Cap,2422.0
2022-02,Mid Cap,2783.0
2022-03,Mid Cap,2686.0
2022-04,Mid Cap,2919.0
2022-05,Mid Cap,2647.0
2022-06,Mid Cap,2880.0
2022-07,Mid Cap,2648.0
2022-08,Mid Cap,2762.0
2022-09,Mid Cap,2578.0
2022-10,Mid Cap,2550.0
2022-11,Mid Cap,2853.0
2022-12,Mid Cap,2857.0
2023-01,Mid Cap,3090.0
2023-02,Mid Cap,3124.0
2023-03,Mid Cap,3501.0
2023-04,Mid Cap,3216.0
2023-05,Mid Cap,3631.0
2023-06,Mid Cap,3746.0
2023-07,Mid Cap,3293.0
2023-08,Mid Cap,3745.0
2023-09,Mid Cap,3792.0
2023-10,Mid Cap,3418.0
2023-11,Mid Cap,3045.0
2023-12,Mid Cap,3105.0
2024-01,Mid Cap,3616.0
2024-02,Mid Cap,4257.0
2024-03,Mid Cap,4083.0
2024-04,Mid Cap,4210.0
2024-05,Mid Cap,3986.0
2024-06,Mid Cap,3845.0
2024-07,Mid Cap,4080.0
2024-08,Mid Cap,3667.0
2024-09,Mid Cap,3880.0
2024-10,Mid Cap,4089.0
2024-11,Mid Cap,4057.0
2024-12,Mid Cap,4313.0
2025-01,Mid Cap,4232.0
2025-02,Mid Cap,4655.0
2025-03,Mid Cap,4743.0
2025-04,Mid Cap,4320.0
2025-05,Mid Cap,4510.0
2025-06,Mid Cap,4583.0
2025-07,Mid Cap,4895.0
2025-08,Mid Cap,4774.0
2025-09,Mid Cap,4765.0
2025-10,Mid Cap,4781.0
2025-11,Mid Cap,4994.0
2025-12,Mid Cap,5216.0
2022-01,Small Cap,1702.0
2022-02,Small Cap,2411.0
2022-03,Small Cap,2310.0
2022-04,Small Cap,2448.0
2022-05,Small Cap,2412.0
2022-06,Small Cap,2152.0
2022-07,Small Cap,2002.0
2022-08,Small Cap,2571.0
2022-09,Small Cap,2581.0
2022-10,Small Cap,2566.0
2022-11,Small Cap,2465.0
2022-12,Small Cap,2608.0
2023-01,Small Cap,2591.0
2023-02,Small Cap,2870.0
2023-03,Small Cap,2883.0
2023-04,Small Cap,2934.0
2023-05,Small Cap,3155.0
2023-06,Small Cap,3517.0
2023-07,Small Cap,2584.0
2023-08,Small Cap,3170.0
2023-09,Small Cap,3181.0
2023-10,Small Cap,2748.0
2023-11,Small Cap,3225.0
2023-12,Small Cap,3316.0
2024-01,Small Cap,3346.0
2024-02,Small Cap,3510.0
2024-03,Small Cap,3430.0
2024-04,Small Cap,4311.0
2024-05,Small Cap,4522.0
2024-06,Small Cap,4338.0
2024-07,Small Cap,3850.0
2024-08,Small Cap,3976.0
2024-09,Small Cap,4010.0
2024-10,Small Cap,3772.0
2024-11,Small Cap,4025.0
2024-12,Small Cap,4386.0
2025-01,Small Cap,4339.0
2025-02,Small Cap,4198.0
2025-03,Small Cap,4489.0
2025-04,Small Cap,4994.0
2025-05,Small Cap,4919.0
2025-06,Small Cap,4957.0
2025-07,Small Cap,5375.0
2025-08,Small Cap,5063.0
2025-09,Small Cap,4897.0
2025-10,Small Cap,5144.0
2025-11,Small Cap,5839.0
2025-12,Small Cap,5207.0
2022-01,Flexi Cap,2760.0
2022-02,Flexi Cap,2512.0
2022-03,Flexi Cap,2594.0
2022-04,Flexi Cap,3114.0
2022-05,Flexi Cap,2849.0
2022-06,Flexi Cap,2639.0
2022-07,Flexi Cap,3185.0
2022-08,Flexi Cap,2732.0
2022-09,Flexi Cap,2759.0
2022-10,Flexi Cap,2720.0
2022-11,Flexi Cap,2725.0
2022-12,Flexi Cap,2969.0
2023-01,Flexi Cap,3011.0
2023-02,Flexi Cap,3398.0
2023-03,Flexi Cap,3677.0
2023-04,Flexi Cap,3781.0
2023-05,Flexi Cap,3853.0
2023-06,Flexi Cap,3929.0
2023-07,Flexi Cap,3720.0
2023-08,Flexi Cap,3355.0
2023-09,Flexi Cap,3752.0
2023-10,Flexi Cap,3152.0
2023-11,Flexi Cap,3494.0
2023-12,Flexi Cap,3902.0
2024-01,Flexi Cap,3594.0
2024-02,Flexi Cap,4569.0
2024-03,Flexi Cap,4109.0
2024-04,Flexi Cap,4107.0
2024-05,Flexi Cap,4357.0
2024-06,Flexi Cap,4378.0
2024-07,Flexi Cap,4559.0
2024-08,Flexi Cap,4525.0
2024-09,Flexi Cap,4850.0
2024-10,Flexi Cap,4627.0
2024-11,Flexi Cap,4845.0
2024-12,Flexi Cap,4734.0
2025-01,Flexi Cap,5316.0
2025-02,Flexi Cap,5211.0
2025-03,Flexi Cap,5106.0
2025-04,Flexi Cap,6063.0
2025-05,Flexi Cap,5566.0
2025-06,Flexi Cap,5607.0
2025-07,Flexi Cap,5686.0
2025-08,Flexi Cap,6095.0
2025-09,Flexi Cap,5609.0
2025-10,Flexi Cap,5997.0
2025-11,Flexi Cap,6404.0
2025-12,Flexi Cap,6947.0
2022-01,ELSS,914.0
2022-02,ELSS,794.0
2022-03,ELSS,1590.0
2022-04,ELSS,1098.0
2022-05,ELSS,1102.0
2022-06,ELSS,1092.0
2022-07,ELSS,738.0
2022-08,ELSS,876.0
2022-09,ELSS,502.0
2022-10,ELSS,1174.0
2022-11,ELSS,803.0
2022-12,ELSS,885.0
2023-01,ELSS,1330.0
2023-02,ELSS,847.0
2023-03,ELSS,1587.0
2023-04,ELSS,1657.0
2023-05,ELSS,1070.0
2023-06,ELSS,1375.0
2023-07,ELSS,1091.0
2023-08,ELSS,1249.0
2023-09,ELSS,980.0
2023-10,ELSS,731.0
2023-11,ELSS,1154.0
2023-12,ELSS,1029.0
2024-01,ELSS,1243.0
2024-02,ELSS,1557.0
2024-03,ELSS,1704.0
2024-04,ELSS,1599.0
2024-05,ELSS,1075.0
2024-06,ELSS,1545.0
2024-07,ELSS,1212.0
2024-08,ELSS,1470.0
2024-09,ELSS,1096.0
2024-10,ELSS,1490.0
2024-11,ELSS,1305.0
2024-12,ELSS,1266.0
2025-01,ELSS,1456.0
2025-02,ELSS,1058.0
2025-03,ELSS,1732.0
2025-04,ELSS,1661.0
2025-05,ELSS,1349.0
2025-06,ELSS,1669.0
2025-07,ELSS,1565.0
2025-08,ELSS,1492.0
2025-09,ELSS,1319.0
2025-10,ELSS,1536.0
2025-11,ELSS,1585.0
2025-12,ELSS,1499.0
2022-01,Hybrid Aggressive,1387.0
2022-02,Hybrid Aggressive,1471.0
2022-03,Hybrid Aggressive,1866.0
2022-04,Hybrid Aggressive,1623.0
2022-05,Hybrid Aggressive,1400.0
2022-06,Hybrid Aggressive,1762.0
2022-07,Hybrid Aggressive,1899.0
2022-08,Hybrid Aggressive,1475.0
2022-09,Hybrid Aggressive,1708.0
2022-10,Hybrid Aggressive,1607.0
2022-11,Hybrid Aggressive,1283.0
2022-12,Hybrid Aggressive,1711.0
2023-01,Hybrid Aggressive,1726.0
2023-02,Hybrid Aggressive,2047.0
2023-03,Hybrid Aggressive,1276.0
2023-04,Hybrid Aggressive,2231.0
2023-05,Hybrid Aggressive,2206.0
2023-06,Hybrid Aggressive,1740.0
2023-07,Hybrid Aggressive,2163.0
2023-08,Hybrid Aggressive,1783.0
2023-09,Hybrid Aggressive,1819.0
2023-10,Hybrid Aggressive,1988.0
2023-11,Hybrid Aggressive,2160.0
2023-12,Hybrid Aggressive,1967.0
2024-01,Hybrid Aggressive,2222.0
2024-02,Hybrid Aggressive,2288.0
2024-03,Hybrid Aggressive,2096.0
2024-04,Hybrid Aggressive,2742.0
