investor_id,age_group,gender,monthly_sip_amount
1,56-65,Male,17956.0
2,46-55,Male,20042.0
3,26-35,Male,6729.0
4,46-55,Male,5269.0
5,46-55,Female,7900.0
6,26-35,Male,8234.0
7,36-45,Male,6569.0
8,36-45,Male,7217.0
9,26-35,Male,5804.0
10,36-45,Female,10393.0
11,46-55,Male,16362.0
12,46-55,Female,8266.0
13,26-35,Male,10175.0
14,26-35,Female,3649.0
15,36-45,Female,5451.0
16,65+,Male,4487.0
17,56-65,Male,4287.0
18,18-25,Female,2713.0
19,46-55,Female,16508.0
20,26-35,Male,2631.0
21,26-35,Male,17749.0
22,36-45,Male,3864.0
23,46-55,Female,7617.0
24,26-35,Female,10419.0
25,56-65,Female,7246.0
26,26-35,Male,1444.0
27,46-55,Male,10308.0
28,56-65,Male,6952.0
29,26-35,Male,2046.0
30,26-35,Female,10430.0
31,46-55,Male,9284.0
32,26-35,Male,4804.0
33,46-55,Female,6389.0
34,65+,Male,6303.0
35,18-25,Female,698.0
36,36-45,Male,8090.0
37,26-35,Male,5152.0
38,36-45,Male,6157.0
39,46-55,Male,2743.0
40,26-35,Female,5873.0
41,26-35,Male,4901.0
42,26-35,Male,5641.0
43,46-55,Male,4835.0
44,46-55,Male,6416.0
45,46-55,Male,5736.0
46,36-45,Male,3217.0
47,56-65,Male,4081.0
48,26-35,Male,3313.0
49,56-65,Male,16099.0
50,26-35,Female,1024.0
51,26-35,Male,3590.0
52,46-55,Female,4022.0
53,46-55,Female,26014.0
54,18-25,Male,5178.0
55,26-35,Male,4383.0
56,56-65,Male,4095.0
57,26-35,Female,1972.0
58,46-55,Male,10143.0
59,26-35,Male,1641.0
60,26-35,Male,3593.0
61,46-55,Male,16694.0
62,46-55,Male,8525.0
63,18-25,Male,1131.0
64,56-65,Female,8167.0
65,18-25,Male,1977.0
66,36-45,Male,21367.0
67,36-45,Male,13589.0
68,26-35,Male,4620.0
69,65+,Male,4589.0
70,36-45,Male,12710.0
71,56-65,Female,7488.0
72,36-45,Male,4588.0
73,36-45,Male,3942.0
74,26-35,Male,1575.0
75,26-35,Female,2623.0
76,36-45,Male,15288.0
77,18-25,Male,1729.0
78,26-35,Male,5135.0
79,36-45,Male,5052.0
80,36-45,Male,3389.0
81,36-45,Female,8079.0
82,46-55,Male,18071.0
83,36-45,Female,7050.0
84,46-55,Male,6161.0
85,26-35,Male,3728.0
86,46-55,Male,3027.0
87,56-65,Male,9936.0
88,36-45,Male,3581.0
89,36-45,Male,3420.0
90,46-55,Female,5923.0
91,18-25,Male,2881.0
92,46-55,Male,8865.0
93,36-45,Male,6942.0
94,26-35,Male,9465.0
95,36-45,Male,13598.0
96,26-35,Female,1478.0
97,26-35,Male,1770.0
98,46-55,Male,14213.0
99,26-35,Male,8299.0
100,46-55,Male,10959.0
101,65+,Male,3517.0
102,46-55,Male,37878.0
103,26-35,Female,4224.0
104,46-55,Male,4743.0
105,36-45,Female,2107.0
106,46-55,Female,12427.0
107,26-35,Male,4115.0
108,26-35,Female,4389.0
109,36-45,Male,3043.0
110,36-45,Male,4195.0
111,26-35,Male,3913.0
112,46-55,Female,14587.0
113,56-65,Male,4520.0
114,36-45,Male,9673.0
115,36-45,Female,6538.0
116,36-45,Male,9284.0
117,26-35,Male,4262.0
118,26-35,Male,1306.0
119,46-55,Male,5517.0
120,26-35,Male,2891.0
121,26-35,Male,2234.0
122,56-65,Female,10419.0
123,65+,Male,2819.0
124,26-35,Female,2988.0
125,56-65,Female,18083.0
126,26-35,Female,3955.0
127,36-45,Male,5720.0
128,26-35,Female,3386.0
129,26-35,Male,5142.0
130,36-45,Male,6713.0
131,26-35,Male,8948.0
132,36-45,Female,10278.0
133,26-35,Female,4462.0
134,46-55,Female,7873.0
135,46-55,Male,11231.0
136,36-45,Male,14073.0
137,36-45,Female,6735.0
138,46-55,Male,14065.0
139,46-55,Male,21205.0
140,26-35,Male,5466.0
141,46-55,Female,4849.0
142,26-35,Male,1256.0
143,36-45,Female,5451.0
144,46-55,Female,6546.0
145,46-55,Male,5409.0
146,26-35,Male,8669.0
147,26-35,Male,6326.0
148,26-35,Female,2279.0
149,26-35,Male,2918.0
150,46-55,Female,8974.0
151,46-55,Female,4700.0
152,36-45,Male,9884.0
153,46-55,Male,7242.0
154,46-55,Male,4512.0
155,26-35,Male,3181.0
156,26-35,Female,5055.0
157,46-55,Male,7012.0
158,18-25,Male,1436.0
159,26-35,Female,5465.0
160,26-35,Male,6785.0
161,26-35,Male,3173.0
162,26-35,Male,8079.0
163,46-55,Male,9859.0
164,36-45,Female,4309.0
165,46-55,Female,13145.0
166,26-35,Male,1802.0
167,36-45,Male,8365.0
168,26-35,Male,4841.0
169,36-45,Female,15191.0
170,46-55,Male,3950.0
171,36-45,Female,6640.0
172,26-35,Male,5198.0
173,36-45,Male,10603.0
174,46-55,Female,8370.0
175,36-45,Female,6026.0
176,56-65,Female,12615.0
177,46-55,Male,6122.0
178,26-35,Male,11731.0
179,46-55,Male,7467.0
180,36-45,Male,7130.0
181,36-45,Male,8212.0
182,26-35,Male,3499.0
183,18-25,Male,2847.0
184,26-35,Male,8854.0
185,56-65,Male,4444.0
186,36-45,Male,3704.0
187,36-45,Female,7615.0
188,65+,Male,4426.0
189,36-45,Female,5409.0
190,36-45,Male,3950.0
191,26-35,Male,1865.0
192,18-25,Female,2109.0
193,36-45,Male,20513.0
194,36-45,Male,14566.0
195,26-35,Female,2966.0
196,18-25,Male,1355.0
197,26-35,Male,12388.0
198,26-35,Female,1922.0
199,36-45,Female,6849.0
200,46-55,Male,10477.0
201,18-25,Male,5453.0
202,36-45,Female,12179.0
203,26-35,Male,4296.0
204,36-45,Male,6843.0
205,26-35,Female,3068.0
206,18-25,Male,1263.0
207,26-35,Male,8868.0
208,36-45,Male,13312.0
209,26-35,Male,9003.0
210,26-35,Female,2776.0
211,36-45,Male,16332.0
212,26-35,Female,4426.0
213,36-45,Female,7344.0
214,26-35,Male,3450.0
215,36-45,Female,8074.0
216,46-55,Male,36333.0
217,26-35,Female,3887.0
218,46-55,Female,6994.0
219,36-45,Male,4790.0
220,46-55,Male,26627.0
221,36-45,Male,5373.0
222,26-35,Male,6255.0
223,36-45,Male,10674.0
224,26-35,Female,6802.0
225,18-25,Male,1049.0
226,46-55,Male,14919.0
227,46-55,Male,10914.0
228,36-45,Male,15541.0
229,36-45,Male,4200.0
230,46-55,Male,6058.0
231,36-45,Male,8554.0
232,36-45,Female,8727.0
233,36-45,Female,8433.0
234,26-35,Male,9014.0
235,36-45,Male,1998.0
236,26-35,Male,2539.0
237,56-65,Female,10553.0
238,56-65,Female,6393.0
239,36-45,Male,6483.0
240,26-35,Female,3020.0
241,18-25,Female,2894.0
242,36-45,Female,6098.0
243,36-45,Male,1657.0
244,36-45,Male,4469.0
245,26-35,Male,5272.0
246,26-35,Male,4385.0
247,36-45,Male,9316.0
