month,sip_inflow_cr
2022-01,12311.0
2022-02,13231.0
2022-03,12148.0
2022-04,14112.0
2022-05,13733.0
2022-06,13796.0
2022-07,14195.0
2022-08,14470.0
2022-09,15258.0
2022-10,16135.0
2022-11,16424.0
2022-12,16849.0
2023-01,16201.0
2023-02,16657.0
2023-03,18465.0
2023-04,18603.0
2023-05,19550.0
2023-06,19513.0
2023-07,18909.0
2023-08,20349.0
2023-09,20455.0
2023-10,20670.0
2023-11,20605.0
2023-12,21377.0
2024-01,21710.0
2024-02,22579.0
2024-03,22635.0
2024-04,23693.0
2024-05,23032.0
2024-06,23994.0
2024-07,24408.0
2024-08,24195.0
2024-09,24454.0
2024-10,25843.0
2024-11,26020.0
2024-12,26116.0
2025-01,26767.0
2025-02,26687.0
2025-03,27499.0
2025-04,27521.0
2025-05,28279.0
2025-06,29039.0
2025-07,28844.0
2025-08,29780.0
2025-09,29333.0
2025-10,30070.0
2025-11,29987.0
2025-12,31002.0
