amfi_code,date,nav
100001,2021-09-01,106.5406
100001,2021-09-02,100.4731
100001,2021-09-03,99.917
100001,2021-09-06,99.3687
100001,2021-09-07,99.9528
100001,2021-09-08,99.4948
100001,2021-09-09,98.992
100001,2021-09-10,98.9872
100001,2021-09-13,93.7176
100001,2021-09-14,92.5161
100001,2021-09-15,92.9499
100001,2021-09-16,92.4094
100001,2021-09-17,92.7568
100001,2021-09-20,91.3884
100001,2021-09-21,89.9105
100001,2021-09-22,89.5585
100001,2021-09-23,88.7687
100001,2021-09-24,88.7679
100001,2021-09-27,89.1112
100001,2021-09-28,89.642
100001,2021-09-29,90.2171
100001,2021-09-30,89.0768
100001,2021-10-01,89.487
100001,2021-10-04,89.5979
100001,2021-10-05,88.7526
100001,2021-10-06,88.7984
100001,2021-10-07,89.3374
100001,2021-10-08,89.9524
100001,2021-10-11,89.5298
100001,2021-10-12,88.5579
100001,2021-10-13,89.2895
100001,2021-10-14,90.7701
100001,2021-10-15,89.2512
100001,2021-10-18,88.4452
100001,2021-10-19,88.8188
100001,2021-10-20,89.6057
100001,2021-10-21,89.3931
100001,2021-10-22,89.9919
100001,2021-10-25,90.4376
100001,2021-10-26,89.7262
100001,2021-10-27,90.2913
100001,2021-10-28,87.9635
100001,2021-10-29,86.2487
100001,2021-11-01,84.8004
100001,2021-11-02,85.1924
100001,2021-11-03,84.9532
100001,2021-11-04,85.1222
100001,2021-11-05,84.0557
100001,2021-11-08,83.99
100001,2021-11-09,82.2214
100001,2021-11-10,81.7492
100001,2021-11-11,81.0173
100001,2021-11-12,83.747
100001,2021-11-15,81.1291
100001,2021-11-16,80.8676
100001,2021-11-17,82.4952
100001,2021-11-18,82.8701
100001,2021-11-19,83.5103
100001,2021-11-22,84.1832
100001,2021-11-23,84.1549
100001,2021-11-24,82.8073
100001,2021-11-25,82.1872
100001,2021-11-26,80.6492
100001,2021-11-29,80.3518
100001,2021-11-30,80.718
100001,2021-12-01,81.0222
100001,2021-12-02,81.6192
100001,2021-12-03,82.2749
100001,2021-12-06,80.9216
100001,2021-12-07,80.8442
100001,2021-12-08,80.621
100001,2021-12-09,79.3861
100001,2021-12-10,79.1502
100001,2021-12-13,79.4189
100001,2021-12-14,78.7892
100001,2021-12-15,78.6258
100001,2021-12-16,78.7106
100001,2021-12-17,77.7708
100001,2021-12-20,77.0963
100001,2021-12-21,75.5637
100001,2021-12-22,76.4959
100001,2021-12-23,76.0809
100001,2021-12-24,75.4772
100001,2021-12-27,74.9676
100001,2021-12-28,75.4545
100001,2021-12-29,76.4004
100001,2021-12-30,76.4692
100001,2021-12-31,76.5005
100001,2022-01-03,76.4546
100001,2022-01-04,74.8785
100001,2022-01-05,74.68
100001,2022-01-06,74.7088
100001,2022-01-07,73.9009
100001,2022-01-10,73.2967
100001,2022-01-11,72.1939
100001,2022-01-12,71.269
100001,2022-01-13,71.0357
100001,2022-01-14,71.0474
100001,2022-01-17,70.6899
100001,2022-01-18,70.3991
100001,2022-01-19,71.0211
100001,2022-01-20,70.9794
100001,2022-01-21,70.9062
100001,2022-01-24,71.2571
100001,2022-01-25,70.3227
100001,2022-01-26,69.2544
100001,2022-01-27,70.5605
100001,2022-01-28,70.4178
100001,2022-01-31,69.8743
100001,2022-02-01,69.9989
100001,2022-02-02,69.8292
100001,2022-02-03,70.1252
100001,2022-02-04,72.4901
100001,2022-02-07,71.9769
100001,2022-02-08,71.3067
100001,2022-02-09,71.2172
100001,2022-02-10,72.2022
100001,2022-02-11,72.5976
100001,2022-02-14,73.3139
100001,2022-02-15,73.6281
100001,2022-02-16,74.2894
100001,2022-02-17,75.8993
100001,2022-02-18,75.1651
100001,2022-02-21,77.7683
100001,2022-02-22,79.649
100001,2022-02-23,80.5422
100001,2022-02-24,80.8902
100001,2022-02-25,80.8574
100001,2022-02-28,81.5143
100001,2022-03-01,82.2475
100001,2022-03-02,82.8707
100001,2022-03-03,83.3552
100001,2022-03-04,83.6913
100001,2022-03-07,82.3186
100001,2022-03-08,84.5881
100001,2022-03-09,85.533
100001,2022-03-10,82.4093
100001,2022-03-11,81.9897
100001,2022-03-14,83.1058
100001,2022-03-15,83.2616
100001,2022-03-16,83.4097
100001,2022-03-17,83.0363
100001,2022-03-18,82.5179
100001,2022-03-21,83.6762
100001,2022-03-22,83.1821
100001,2022-03-23,83.9903
100001,2022-03-24,82.4044
100001,2022-03-25,84.9178
100001,2022-03-28,84.6184
100001,2022-03-29,84.1006
100001,2022-03-30,82.7473
100001,2022-03-31,81.5482
100001,2022-04-01,82.4605
100001,2022-04-04,83.6743
100001,2022-04-05,84.5258
100001,2022-04-06,83.5302
100001,2022-04-07,83.0416
100001,2022-04-08,83.2584
100001,2022-04-11,83.9527
100001,2022-04-12,84.1851
100001,2022-04-13,85.5074
100001,2022-04-14,87.5338
100001,2022-04-15,88.3184
100001,2022-04-18,87.9749
100001,2022-04-19,87.1108
100001,2022-04-20,87.6412
100001,2022-04-21,87.2746
100001,2022-04-22,85.7632
100001,2022-04-25,87.7055
100001,2022-04-26,88.5104
100001,2022-04-27,86.9839
100001,2022-04-28,85.527
100001,2022-04-29,85.4485
100001,2022-05-02,86.4748
100001,2022-05-03,86.9018
100001,2022-05-04,88.0618
100001,2022-05-05,85.6262
100001,2022-05-06,85.2592
100001,2022-05-09,85.3263
100001,2022-05-10,86.4231
100001,2022-05-11,87.8425
100001,2022-05-12,86.8573
100001,2022-05-13,84.7143
100001,2022-05-16,83.8287
100001,2022-05-17,83.9405
100001,2022-05-18,84.4698
100001,2022-05-19,85.4363
100001,2022-05-20,86.0309
100001,2022-05-23,86.5068
100001,2022-05-24,87.8142
100001,2022-05-25,88.0108
100001,2022-05-26,89.0063
100001,2022-05-27,86.6582
100001,2022-05-30,87.3827
100001,2022-05-31,88.2981
100001,2022-06-01,89.4015
100001,2022-06-02,88.0827
100001,2022-06-03,87.4853
100001,2022-06-06,85.9085
100001,2022-06-07,86.3559
100001,2022-06-08,85.8519
100001,2022-06-09,87.9786
100001,2022-06-10,85.9601
100001,2022-06-13,86.2307
100001,2022-06-14,86.2796
100001,2022-06-15,87.2621
100001,2022-06-16,88.0751
100001,2022-06-17,88.7448
100001,2022-06-20,88.6657
100001,2022-06-21,89.9089
100001,2022-06-22,89.436
100001,2022-06-23,88.2033
100001,2022-06-24,87.4782
100001,2022-06-27,88.7081
100001,2022-06-28,88.5526
100001,2022-06-29,85.6556
100001,2022-06-30,85.3957
100001,2022-07-01,85.4063
100001,2022-07-04,86.7186
100001,2022-07-05,87.6092
100001,2022-07-06,88.0637
100001,2022-07-07,86.5006
100001,2022-07-08,88.4339
100001,2022-07-11,88.7695
100001,2022-07-12,89.4762
100001,2022-07-13,90.8442
