amfi_code,overall_rank,cagr_3y,sharpe,alpha_annualized,expense_ratio,max_drawdown,score_cagr3y,score_sharpe,score_alpha,score_expense,score_maxdd,fund_scorecard,fund_name,fund_house,category
100002,1,0.3728161648452575,0.6065853496041576,0.049709832014074626,0.61,-0.2787562223561988,100.0,92.3076923076923,84.61538461538461,84.61538461538461,66.66666666666666,89.35897435897436,ICICI Pru Large Cap Fund - Direct Growth,ICICI Pru,Large Cap
100015,2,0.3673009426363283,0.7300450201116888,0.07493321289824369,1.06,-0.2967936499229781,92.3076923076923,100.0,97.43589743589743,16.666666666666664,56.41025641025641,80.32051282051282,Quant Mid Cap Fund - Direct Growth,Quant,Mid Cap
100017,3,0.3600464237218537,0.5871802735864753,0.06834914457485969,0.95,-0.3059665287630311,89.74358974358975,89.74358974358975,92.3076923076923,32.05128205128205,48.717948717948715,77.50000000000001,Invesco Small Cap Fund - Direct Growth,Invesco,Small Cap
100014,4,0.36952194079101597,0.6284911667806374,0.058001004916522866,1.34,-0.3107535165475602,97.43589743589743,94.87179487179486,89.74358974358975,5.128205128205128,46.15384615384615,76.28205128205128,Motilal Oswal Mid Cap Fund - Direct Growth,Motilal Oswal,Mid Cap
100039,5,0.10097269530898734,0.7094724469896452,0.07535412353231803,0.56,-0.02128859903868019,10.256410256410255,97.43589743589743,100.0,92.3076923076923,97.43589743589743,71.02564102564102,Sundaram Debt - Short Duration Fund - Direct Growth,Sundaram,Debt - Short Duration
100031,6,0.31488826260630853,0.5460809046586382,0.04637341131511097,0.88,-0.36140158837366376,76.92307692307693,84.61538461538461,76.92307692307693,46.15384615384615,23.076923076923077,68.84615384615385,DSP ELSS Fund - Direct Growth,DSP,ELSS
100010,7,0.36922581017666367,0.5671189614698394,0.037541018419072224,1.39,-0.33450908916612687,94.87179487179486,87.17948717948718,69.23076923076923,2.564102564102564,38.46153846153847,68.33333333333331,Franklin Mid Cap Fund - Direct Growth,Franklin,Mid Cap
100034,8,0.23434302297443166,0.45203579709207287,0.04842301139742575,0.67,-0.1738564006926867,41.02564102564102,69.23076923076923,82.05128205128204,79.48717948717949,89.74358974358975,66.92307692307692,Motilal Oswal Hybrid Aggressive Fund - Direct Growth,Motilal Oswal,Hybrid Aggressive
100012,9,0.33975908403689004,0.4467316950169184,0.011779205071620207,0.73,-0.35735256964506246,84.61538461538461,66.66666666666666,51.28205128205128,71.7948717948718,33.33333333333333,66.4102564102564,Tata Mid Cap Fund - Direct Growth,Tata,Mid Cap
100029,10,0.2664085979054529,0.48362688059624204,0.02719689087228319,0.73,-0.2718478416294626,51.28205128205128,74.35897435897436,58.97435897435898,71.7948717948718,71.7948717948718,63.71794871794872,Parag Parikh ELSS Fund - Direct Growth,Parag Parikh,ELSS
100032,11,0.27329973475831015,0.4174558636951423,0.017141135583844246,0.59,-0.2745607602959964,56.41025641025641,58.97435897435898,56.41025641025641,88.46153846153845,69.23076923076923,63.141025641025635,Tata ELSS Fund - Direct Growth,Tata,ELSS
100005,12,0.22132000595859802,0.5304821063502381,0.036590474551240884,0.73,-0.2962422300072395,38.46153846153847,82.05128205128204,66.66666666666666,71.7948717948718,58.97435897435898,62.05128205128205,Nippon India Large Cap Fund - Direct Growth,Nippon India,Large Cap
100019,13,0.3463600626316128,0.4122157656270628,0.005605617981660128,0.8,-0.33134032820414616,87.17948717948718,56.41025641025641,41.02564102564102,58.97435897435898,41.02564102564102,61.41025641025641,Sundaram Small Cap Fund - Direct Growth,Sundaram,Small Cap
100038,14,0.10923284110397757,0.3685809365388714,0.0712994149864589,0.54,-0.019814650873516526,12.82051282051282,53.84615384615385,94.87179487179486,94.87179487179486,100.0,60.51282051282051,PGIM Debt - Short Duration Fund - Direct Growth,PGIM,Debt - Short Duration
100011,15,0.2762816156735579,0.5122424869187012,0.035850526454444705,0.81,-0.4097136327469493,61.53846153846154,79.48717948717949,64.1025641025641,55.12820512820513,2.564102564102564,59.679487179487175,DSP Mid Cap Fund - Direct Growth,DSP,Mid Cap
100007,16,0.2971562901021043,0.3308594656732799,0.003878543888961249,0.72,-0.301883464348349,69.23076923076923,41.02564102564102,38.46153846153847,76.92307692307693,53.84615384615385,55.64102564102564,UTI Large Cap Fund - Direct Growth,UTI,Large Cap
100024,17,0.15304213801727462,0.48671454220649485,0.04531873400629014,0.92,-0.24022650261973932,23.076923076923077,76.92307692307693,74.35897435897436,39.743589743589745,76.92307692307693,54.67948717948718,Kotak Flexi Cap Fund - Direct Growth,Kotak,Flexi Cap
100018,18,0.31687608144213875,0.43698512808110207,-0.002256130039361015,0.96,-0.35892629053486347,79.48717948717949,61.53846153846154,35.8974358974359,26.923076923076923,28.205128205128204,53.269230769230774,PGIM Small Cap Fund - Direct Growth,PGIM,Small Cap
