date,nav,scheme_code,api_reported_name,api_reported_fund_house,api_reported_category,brief_label
2026-08-24,215.1429,125497,SBI SMALL CAP FUND - Direct Plan - Growth,SBI Mutual Fund,Equity Scheme - Small Cap Fund,HDFC Top 100 Direct
2026-08-25,214.8881,125497,SBI SMALL CAP FUND - Direct Plan - Growth,SBI Mutual Fund,Equity Scheme - Small Cap Fund,HDFC Top 100 Direct
2026-08-26,216.6324,125497,SBI SMALL CAP FUND - Direct Plan - Growth,SBI Mutual Fund,Equity Scheme - Small Cap Fund,HDFC Top 100 Direct
2026-08-27,215.9822,125497,SBI SMALL CAP FUND - Direct Plan - Growth,SBI Mutual Fund,Equity Scheme - Small Cap Fund,HDFC Top 100 Direct
2026-08-28,216.2904,125497,SBI SMALL CAP FUND - Direct Plan - Growth,SBI Mutual Fund,Equity Scheme - Small Cap Fund,HDFC Top 100 Direct
2026-08-31,217.6184,125497,SBI SMALL CAP FUND - Direct Plan - Growth,SBI Mutual Fund,Equity Scheme - Small Cap Fund,HDFC Top 100 Direct
2026-09-01,216.7425,125497,SBI SMALL CAP FUND - Direct Plan - Growth,SBI Mutual Fund,Equity Scheme - Small Cap Fund,HDFC Top 100 Direct
2026-09-02,216.0825,125497,SBI SMALL CAP FUND - Direct Plan - Growth,SBI Mutual Fund,Equity Scheme - Small Cap Fund,HDFC Top 100 Direct
2026-09-03,216.4037,125497,SBI SMALL CAP FUND - Direct Plan - Growth,SBI Mutual Fund,Equity Scheme - Small Cap Fund,HDFC Top 100 Direct
2026-09-04,216.6525,125497,SBI SMALL CAP FUND - Direct Plan - Growth,SBI Mutual Fund,Equity Scheme - Small Cap Fund,HDFC Top 100 Direct
